djk_id	djk_text	eng_id	eng_text
19	Ma namo, Jowsef na be wan sama di e pakisei fu du san fiti Masaa Gadu. Ne a denki namo fu paati anga Maliya saafi bakabaka, sondee fu bolotyasi a taki. Bika a á wani gi Maliya sen.	19	Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly.
20	Ne di a pakisei de kon ne en, ne wan Basiya fu Masaa Gadu Kondee kon ne en a ini wan deen. Ne a taigi en taki: “Jowsef! Manpikin fu Kownu Dafeti paansu! Yu á mu feele fu teke Maliya toon yu uman! Bika, a ná sama gi en a bee de, ma na a Jeje fu Masaa Gadu seefi wooko so.	20	But when he thought about these things, behold, an angel of the Lord appeared to him in a dream, saying, "Joseph, son of David, don't be afraid to take to yourself Mary, your wife, for that which is conceived in her is of the Holy Spirit.
21	A o meke wan manpikin. Da i mu kai en Jesesi. Bika ne en o tyai yeepi gi a foluku fi en, fu puu den a takuudu anga ogii.”	21	She shall bring forth a son. You shall call his name Jesus, for it is he who shall save his people from their sins."
22	We! A hii toli ya waka enke fa Masaa Gadu be piki wan fositen apaiti takiman fi en, fu sikiifi taki, dati musu pasa bakaten. Bika a takiman be sikiifi taki:	22	Now all this has happened, that it might be fulfilled which was spoken by the Lord through the prophet, saying,
23	“Wan ten e kon! Yu o si taki wan yonkuu uman, di á go a man wan dei o de anga bee. Da a o meke wan manpikin. Da den o kai en Imanuweli. A nen ya wani taki, Masaa Gadu seefi kon fu de anga wi.”	23	"Behold, the virgin shall be with child, and shall bring forth a son. They shall call his name Immanuel"; which is, being interpreted, "God with us."
24	We, di Jowsef weki na a siibi, ne a du leti enke fa a Basiya fu Masaa Gadu Kondee be taigi en, ne a teke Maliya poti a osu enke uman.	24	Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took his wife to himself;
25	Ma a á siibi anga en uman fasi, fosi a meke a manpikin. Ne di Maliya meke a pikin, ne Jowsef taki, den mu kai en Jesesi.	25	and didn't know her sexually until she had brought forth her firstborn son. He named him Jesus.
26	Ma namo, da Masaa Jesesi meke na a pisiwataa fu Judeja, na a foto den kai Betelehem. A pisiten de, da na Kownu Helowdesi be e taki fu a hii pisiwataa anda. Ma wan duupu koniman komoto a doose kondee go a Jelusalem Foto. Den komoto na a se pe san e opo. Den koniman ya na sama di e sabi san o pasa, te den luku den sitali a tapu.	26	Now when Jesus was born in Bethlehem of Judea in the days of King Herod, behold, wise men from the east came to Jerusalem, saying,
27	Di den go doo Jelusalem Foto, ne den e akisi den sama ape taki: “Pe a kownu fu den Dyu di meke ya de? Bika wi si wan sitali a tapu, di e soi wi taki wan nyun kownu fu Dyusama meke dise. Ne i si u kon ya, fu kon gi en gaandi. We, gaantangi! U soi wi pe a meke, baa.”	27	"Where is he who is born King of the Jews? For we saw his star in the east, and have come to worship him."
28	Namo, di Kownu Helowdesi yee taki, den e taki wan taa kownu meke, ne en anga a hii Jelusalem foluku buuya, te ná sipowtu.	28	When King Herod heard it, he was troubled, and all Jerusalem with him.
29	Namo a sende kai ala den moo hei begiman a Jelusalem Foto fu den kon ne en. Soseefi a kai ala den leliman fu Dyuweiti tu. Ne a taigi den taki: “We! Masaa Gadu á be paamisi fu sende wan yeepiman kon a goontapu, no? We, u suku gi mi a ini Masaa Gadu Buku pe a Kelestesi be o meke.”	29	Gathering together all the chief priests and scribes of the people, he asked them where the Christ would be born.
30	We namo, ne den piki en taki: “Na Betelehem Foto, na a pisiwataa fu Judeja! Bika a sikiifi taki:	30	They said to him, "In Bethlehem of Judea, for this is written through the prophet,
31	‘Betelehem Foto! A ná yu de na a pisiwataa fu Judeja, sondee balinen, no? We toku so, yu o toon wan balinen foto. Bika na yu a gaan edeman, di o de wan soluguman fu mi sikapu, mi Dyu foluku, o meke.’ ”	31	'You Bethlehem, land of Judah, are in no way least among the princes of Judah: for out of you shall come forth a governor, who shall shepherd my people, Israel.'"
32	We, Kownu Helowdesi aliki, te a kaba. Namo a sende kai den koniman di be komoto na a se pe san e opo kibii kibii kon ne en. Ne a akisi den, meke den taigi en, on ten pilisisi den be si a sitali a tapu.	32	Then Herod secretly called the wise men, and learned from them exactly what time the star appeared.
33	Bakadati, ne a gi den pasi den go a Betelehem Foto go suku a pikin. Ma fosi den gwe, ne a taigi den taki: “U go suku fini fini pe a pikin meke. Te u fende en, da u kon piki mi baka. Bika mi seefi wani go gi en gaandi tu.”	33	He sent them to Bethlehem, and said, "Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him."
34	We, di den anga Kownu Helowdesi taki so kaba, ne den gwe. Namo den si a seefi sitali di den be si a tapu baka. We, ne den piisii gaan piisii. Bika den e waka, da a sitali e waka a tapu a den fesi, fu tii den go doo na a pikin. Na di den si a sitali taampu pii a wan peesi, ne den sabi kaba taki, den doo a peesi pe a pikin meke.	34	They, having heard the king, went their way; and behold, the star, which they saw in the east, went before them, until it came and stood over where the young child was.
35	Ne den go a ini a osu. Ne den si a pikin anga en mma, Maliya de. Ne wanten wanten den sutu kini a doti, gi a pikin gaandi. Soseefi den puu den sowtu a sowtu dii kado di den be tyai, fu gi a pikin a ini sani. Den be tyai gowtu sani, wan sowtu kandaa fu boon switi sumee anga mile oli fu lobi a sikin.	35	They came into the house and saw the young child with Mary, his mother, and they fell down and worshiped him. Opening their treasures, they offered to him gifts: gold, frankincense, and myrrh.
36	Na so ala sani be waka. Ma namo de, Masaa Gadu wasikoi den koniman a ini deen taki, den á mu daai go a Kownu Helowdesi moo. Ne den teke wan hii taa pasi waka gwe a den kondee baka.	36	Being warned in a dream that they shouldn't return to Herod, they went back to their own country another way.
37	Da di den koniman gwe kaba, ne namo, ne Masaa Gadu sende wan Basiya fu Masaa Gadu Kondee kon a Jowsef, a ini wan deen. Ne a taigi en taki: “Opo teke a pikin anga en mma, da i lowe gwe a Egepte Kondee. Da tan anda fu te enke mi taigi yu, fi i daai kon baka. Bika luku! Helowdesi o meke ala moiti fu kii a pikin ya!”	37	Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream, saying, "Arise and take the young child and his mother, and flee into Egypt, and stay there until I tell you, for Herod will seek the young child to destroy him."
38	We, ne Jowsef opo, ne a teke a pikin anga en mma na a neti, ne a gwe a Egepte Kondee.	38	He arose and took the young child and his mother by night, and departed into Egypt,
39	Ne a tan anda fu te Helowdesi dede. Na so a be mu pasa fu san Masaa Gadu be meke wan apaiti takiman fi en be taki mu kon pasa tuu. Bika a be taki: “Mi o kai mi manpikin puu a Egepte Kondee.”	39	and was there until the death of Herod; that it might be fulfilled which was spoken by the Lord through the prophet, saying, "Out of Egypt I called my son."
40	Ma namo, di Kownu Helowdesi si taki, den koniman á kon piki en moo enke fa den be taki, ne en ati boon, te ná sipowtu. Ne a sende suudati waka kii ala manpikin, fu tu yali go a ondoo, a Betelehem anga a hii pisiwataa de. Bika den koniman be taigi en taki, na tu yali pasa kaba di den be si a sitali a tapu.	40	Then Herod, when he saw that he was mocked by the wise men, was exceedingly angry, and sent out, and killed all the male children who were in Bethlehem and in all the surrounding countryside, from two years old and under, according to the exact time which he had learned from the wise men.
41	Da na so a sani kon pasa tuu enke fa a Jelemija, a apaiti takiman fu Masaa Gadu be taki.	41	Then that which was spoken by Jeremiah the prophet was fulfilled, saying,
42	Bika a be taki: “U o yee fa sama e bali gaan adyumadye na a pisi kondee fu Laama. U o yee kusumi anga soso balibali anda. Na den baka bakaten pikin fu a uman den e kai Laakeli di e tan anda o kusumi so. Den ná o wani sama koo den ati. Bika den pikin fu den á de a libi moo.”	42	"A voice was heard in Ramah, lamentation, weeping and great mourning, Rachel weeping for her children; she wouldn't be comforted, because they are no more."
43	We, ne baka di Kownu Helowdesi dede, ne na wan Basiya fu Masaa Gadu Kondee kon a Jowsef, a ini wan deen a Egepte Kondee anda.	43	But when Herod was dead, behold, an angel of the Lord appeared in a dream to Joseph in Egypt, saying,
44	Ne a taigi en taki: “Jowsef, opo! Teke a pikin anga en mma, da u gwe a Islayeli Kondee baka! Bika a sama di be wani kii a pikin anda dede kaba.”	44	"Arise and take the young child and his mother, and go into the land of Israel, for those who sought the young child's life are dead."
45	We, ne Jowsef opo wanten, enke fa Masaa Gadu taigi en a ini a deen. Ne a teke a pikin anga en mma, ne den gwe a Islayeli Kondee baka.	45	He arose and took the young child and his mother, and came into the land of Israel.
46	Ma di a yee taki na a Alikalawsu, a manpikin fu Kownu Helowdesi toon kownu fu Juda ne en dda peesi, ne a feele fu go na a pisi kondee anda. We, ne Masaa Gadu soi en a ini wan deen taki, meke a go tan na a pisiwataa fu Galileya.	46	But when he heard that Archelaus was reigning over Judea in the place of his father, Herod, he was afraid to go there. Being warned in a dream, he withdrew into the region of Galilee,
47	We, ne a go tan a wan foto fu Galileya den e kai Nasaleti. Na so san den apaiti takiman fu Masaa Gadu be taki, kon pasa tuu. Bika den be taki: “Den o kai en wan sama fu Nasaleti Foto.”	47	and came and lived in a city called Nazareth; that it might be fulfilled which was spoken through the prophets: "He will be called a Nazarene."
48	Na a seefi pisiten de Johanisi a Dopuman be de a ini a gaan sabana fu Judeja Kondee e bali a bosikopu fu Masaa Gadu	48	In those days, John the Baptizer came, preaching in the wilderness of Judea, saying,
49	taki: “Daai libi! Bika a Nyun Tii fu Masaa Gadu de koosube tuutuu.”	49	"Repent, for the Kingdom of Heaven is at hand!"
50	A sani ya waka leti enke fa Masaa Gadu be piki Jesaja enke wan apaiti takiman fu taki, fi en: “A tongo fu wan bosikopuman o bali a ini a gaan sabana taki: ‘U seeka pasi gi a Masaa, meke a pasi sa kon taampu letiopu tollo.’ ”	50	For this is he who was spoken of by Isaiah the prophet, saying, "The voice of one crying in the wilderness, make ready the way of the Lord. Make his paths straight."
51	We, den koosi fu Johanisi di a be e wei be meke anga a uwii fu wan meti den e kai kameili. Da a be e banti en mindii anga wan leli buba. Da na makonkon anga busi oniki a be e nyan.	51	Now John himself wore clothing made of camel's hair, with a leather belt around his waist. His food was locusts and wild honey.
52	Namo den sama fu Jelusalem Foto anga a pisiwataa fu Judeja yee a bosikopu fu Masaa Gadu di ai bali. Soseefi sama di e tan na a pisi fu Joodani Liba seefi yee tu. Ne ala den booko kon aliki san ai taki.	52	Then people from Jerusalem, all of Judea, and all the region around the Jordan went out to him.
53	Namo Johanisi dopu somen fu den sama a ini Joodani Liba. Ma fosi a dopu den, da den be mu puu ala ogii, di den be du taki fosi.	53	They were baptized by him in the Jordan, confessing their sins.
54	Ma Johanisi kon si taki, somen Faliseiman anga Saduseiman de a ini den sama di kon fu teke dopu de. Namo a bali kosi den taki: “U takuu tetei sineki! Fa u du sabi taki, u mu lon kibii gi a gaan atiboon fu Masaa Gadu di de a pasi e kon?”	54	But when he saw many of the Pharisees and Sadducees coming for his baptism, he said to them, "You offspring of vipers, who warned you to flee from the wrath to come?
55	Soseefi a taki go doo taki: “Ma u sabi san? Daai libi sowan fasi taki, u libi e puu bun, di e soi taki, u libi daai tuu.	55	Therefore bring forth fruit worthy of repentance!
56	Ma u á mu pakisei taki, di u na baka bakaten pikin fu Abalaham paansu, da u anga Masaa Gadu de mati. Kweti kweti! Bika mi e taigi u taki, Masaa Gadu abi makiti fu meke den siton di u e si ya kon toon libisama fu de enke pikin fu Abalaham.	56	Don't think to yourselves, 'We have Abraham for our father,' for I tell you that God is able to raise up children to Abraham from these stones.
57	Bika luku ya, a akisi de na a lutu fu a bon kaba. Da iniiwan bon di nái meke bun nyanyan, den sa faa en towe, iti go boon a ini faya.”	57	"Even now the axe lies at the root of the trees. Therefore every tree that doesn't bring forth good fruit is cut down, and cast into the fire.
58	Soseefi Johanisi taki go doo taki: “U si! Mi e dopu u anga wataa, fu u daai libi. Ma u luku Awan di makiti bigi moo mi, a o kon a mi baka! Ma mi á dyendee sai fu bendi sibi en susu gi en seefi. En dati o dopu sama anga a Apaiti Jeje anga faya.	58	I indeed baptize you in water for repentance, but he who comes after me is mightier than I, whose shoes I am not worthy to carry. He will baptize you in the Holy Spirit.
59	“We, Masaa Gadu o wai den bun ati sama poti a wanse. Da a wai den takuu ati wan poti na a taase. A de leti enke fa den e wai alisi puu buba. Da den e teke a alisi seefi tyai go kibii a magisin. Ma a buba dati de, e towe a dyiko fu boon a ini gaan ati faya. We da, na letiso den takuu ati sama o pina fu tego a ini a gaan ati faya. Bika sama ná o de fu kii a faya de noiti wan ten.”	59	His winnowing fork is in his hand, and he will thoroughly cleanse his threshing floor. He will gather his wheat into the barn, but the chaff he will burn up with unquenchable fire."
60	Masaa Jesesi seefi be komoto na a pisiwataa fu Galileya kon a Joodani Liba, fu meke Johanisi dopu enseefi tu.	60	Then Jesus came from Galilee to the Jordan to John, to be baptized by him.
61	Ma, di Johanisi si en, ne a á wani dopu en. A taigi Masaa Jesesi taki: “Mi ná o dopu yu! Bika na yu mu dopu mi.”	61	But John would have hindered him, saying, "I need to be baptized by you, and you come to me?"
62	Ma Masaa Jesesi piki en taki: “Nono! I mu dopu mi. Bika wi ya seefi mu du ala letiopu sani di fiti du.” We, di a taki so, ne Johanisi dopu en.	62	But Jesus, answering, said to him, "Allow it now, for this is the fitting way for us to fulfill all righteousness." Then he allowed him.
63	Ma namo, fa i si Masaa Jesesi dopu komoto a ini a wataa go a soo, ne tapu anda piiti opo waa. Ne a Apaiti Jeje fu Masaa Gadu saka komoto a tapu anda wanten, kon enke wan doifi a Masaa Jesesi tapu.	63	Jesus, when he was baptized, went up directly from the water: and behold, the heavens were opened to him. He saw the Spirit of God descending as a dove, and coming on him.
64	Ne wan Tongo taki a tapu anda taki: “Disi na mi Manpikin di mi lobi. Mi hii ati e piisii anga en.”	64	Behold, a voice out of the heavens said, "This is my beloved Son, with whom I am well pleased."
65	We ne, wanten wanten de, ne a Apaiti Jeje fu Masaa Gadu tyai Masaa Jesesi waka gwe a ini a gaan sabana. Namo, ne a didibii de ape e tesi Masaa Jesesi.	65	Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.
66	We, ne Masaa Jesesi poti nyanyan a wanse, fu begi, fotenti dei anga fotenti neti langa. Namo, ne angii moo en.	66	When he had fasted forty days and forty nights, he was hungry afterward.
67	We, ne a tesiman, a didibii kon doo. Ne a taigi Masaa Jesesi taki: “Di i na a Manpikin fu Masaa Gadu tuu, da taigi den siton ya, meke den toon beele, osi?”	67	The tempter came and said to him, "If you are the Son of God, command that these stones become bread."
68	Ma Masaa Jesesi piki en taki: “Masaa Gadu Buku sikiifi taki: ‘A ná nyanyan namo e oli wan sama a libi. Ma na te wan sama e du san Masaa Gadu taki.’ ”	68	But he answered, "It is written, 'Man shall not live by bread alone, but by every word that proceeds out of the mouth of God.'"
69	We bakadati, ne a didibii teke Masaa Jesesi tyai go a tapu na a Mama Keliki fu den Dyu, a Jelusalem, a apaiti foto fu Masaa Gadu.	69	Then the devil took him into the holy city. He set him on the pinnacle of the temple,
70	Ne a taigi en taki: “We, di i na a Manpikin fu Masaa Gadu tuu, da fee saka go a doti anda, no? Bika Masaa Gadu Buku sikiifi taki: ‘Masaa Gadu o sende den Basiya fi en a Masaa Gadu Kondee kon a yu, fu den tyai yu na a ana, meke yu á sa naki i futu a wan siton.’ ”	70	and said to him, "If you are the Son of God, throw yourself down, for it is written, 'He will put his angels in charge of you.' and, 'On their hands they will bear you up, so that you don't dash your foot against a stone.'"
71	Ma Masaa Jesesi piki en taki: “Masaa Gadu Buku sikiifi tu taki: ‘Ná tesi Masaa Gadu, di de u Gadu.’ ”	71	Jesus said to him, "Again, it is written, 'You shall not test the Lord, your God.'"
72	We, bakadati, ne a didibii tyai Masaa Jesesi gwe a wan gaan hei mongo ede. Ne te fi i pingi ain opo, ne a soi Masaa Jesesi ala den gudu anga den dyendee fu den kondee kondee fu goontapu.	72	Again, the devil took him to an exceedingly high mountain, and showed him all the kingdoms of the world, and their glory.
73	Ne a taigi Masaa Jesesi taki: “I si fa goontapu dyendee? Mi sa gi yu ala den dyendee de. Ma, da i mu sutu kini a doti begi mi.”	73	He said to him, "I will give you all of these things, if you will fall down and worship me."
74	Namo Masaa Jesesi bali en taki: “Tumalisi komoto a mi fesi ya! Yu didibii, saatan yu! Bika Masaa Gadu Buku sikiifi taki: ‘Na Masaa Gadu wawan u mu begi, soseefi dini!’ ”	74	Then Jesus said to him, "Get behind me, Satan! For it is written, 'You shall worship the Lord your God, and you shall serve him only.'"
75	We, ne a didibii fika Masaa Jesesi saafi, ne a gwe. Ne den Basiya fu Masaa Gadu Kondee kon, ne den dini Masaa Jesesi, gi en ala san a abi fanowdu.	75	Then the devil left him, and behold, angels came and served him.
76	Namo Masaa Jesesi yee taki, den kisi Johanisi sooto. Ne a komoto ape go tan a Nasaleti Foto, pe a be kiya. Nasaleti Foto de na a pisiwataa fu Galileya.	76	Now when Jesus heard that John was delivered up, he withdrew into Galilee.
77	Ma Masaa Jesesi á tan langa a Nasaleti de moo. Bika a komoto de go tan a Kafalnayemu Foto. Kafalnayemu Foto meke na a sikin wataa fu a ze den e kai ze fu Galileya. Dati na a pisi pe Sebulon anga Naftali kondee de.	77	Leaving Nazareth, he came and lived in Capernaum, which is by the sea, in the region of Zebulun and Naphtali,
78	Da fa Masaa Jesesi go tan ya, meke a sani di wan apaiti takiman fu Masaa Gadu den e kai Jesaja be taki kon pasa tuu. Bika Jesaja be taki:	78	that it might be fulfilled which was spoken through Isaiah the prophet, saying,
79	“Luku den kondee den kai Sebulon anga Naftali. Den de leti na a pasi fu waka pasa kai na a ze, na a taase fu Joodani Liba. Na tu kondee fu taa foluku di á de Dyusama. Galileya seefi na kondee fu sama di á de Dyu.	79	"The land of Zebulun and the land of Naphtali, toward the sea, beyond the Jordan, Galilee of the Gentiles,
80	Da den be o tan faawe fu Masaa Gadu, te den boo be o koti. Bika den gei sama di de a ini dunguu. Ma den ain o kon kiin, enke fa peesi e kiin fu si. Bika den o kon sabi Masaa Gadu, da den o toon sama di abi pasi fu tan a Masaa Gadu se.”	80	the people who sat in darkness saw a great light, to those who sat in the region and shadow of death, to them light has dawned."
81	We, ne fanafu di Masaa Jesesi go tan anda, ne ai bali den sama taki: “U daai libi! Bika a Nyun Tii fu Masaa Gadu de koosube tuutuu.”	81	From that time, Jesus began to preach, and to say, "Repent! For the Kingdom of Heaven is at hand."
82	We wan dei, da Masaa Jesesi be e waka na a lampeesi pe a gaan ze fu Galileya kon sutu mofu a soo. Ne a si tu baala. Wan fu den na Simon di abi a taa nen fu Peitilisi. A taawan na Andeleyasi. Den tu baala ya be de fisiman, di e towe seepi fu kisi fisi a ini a ze.	82	Walking by the sea of Galilee, he saw two brothers: Simon, who is called Peter, and Andrew, his brother, casting a net into the sea; for they were fishermen.
83	Namo Masaa Jesesi waka go a den. Ne a taigi den taki: “U kon waka a mi baka! U kon go anga mi na ala pe mi e go. Da mi o leli u onti taa fasi, bika u ná o onti fisi moo. Ma u o kon toon ontiman fu kisi libisama tyai kon biibi a mi.”	83	He said to them, "Come after me, and I will make you fishers for men."
84	We, ne den tu baala á du taa fa, ne den wai den seepi wanten poti a wanse. Ne den bigin waka a Masaa Jesesi baka.	84	They immediately left their nets and followed him.
85	A di den waka go moo pikinso, ne den si tu taa baala anga den dda, Da Sebedi a ini wan boto. Wan fu den baala na Jakowbesi, a taawan na Johanisi. Den be e seeka den seepi, fu go sete. Ne Masaa Jesesi kai den tu baala ya tu.	85	Going on from there, he saw two other brothers, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets. He called them.
86	Ne den tu baala ya seefi fika den dda anga ala den seepi anga ala a boto a baka wanten. Ne den go waka a Masaa Jesesi baka tu.	86	They immediately left the boat and their father, and followed him.
87	Namo, Masaa Jesesi e waka e lontu a hii pisiwataa fu Galileya e leli den sama a ini den keliki osu fu den Dyu. Soseefi ai bali a Bun Nyunsu di e taki, fu a Nyun Tii fu Masaa Gadu. Da ai deesi ala siki anga ala sowtu takuu takuu siki anga nowtu di den sama be abi.	87	Jesus went about in all Galilee, teaching in their synagogues, preaching the Good News of the Kingdom, and healing every disease and every sickness among the people.
88	We, ne Masaa Jesesi nen bali lontu na a hii pisiwataa de, te go doo Siliya. Den sama anda seefi tyai ala sowtu sikiman kon ne en. Sama di be abi sikin ati. Sama di takuu jeje be e bali a den tapu. Soseefi, den be tyai lawman anga lanman. Ne Masaa Jesesi deesi ala den fiya.	88	The report about him went out into all Syria. They brought to him all who were sick, afflicted with various diseases and torments, possessed with demons, epileptics, and paralytics; and he healed them.
89	Ma namo, da somen sama fu a pisiwataa fu Galileya, anga a pisiwataa fu den tin foto, di den e kai Dekapolisi, anga Jelusalem Foto, anga sama di be e tan na a pisiwataa fu Judeja, anga abaase fu a Joodani Liba, booko kon e waka a Masaa Jesesi baka.	89	Great multitudes from Galilee, Decapolis, Jerusalem, Judea and from beyond the Jordan followed him.
90	We, ne di Masaa Jesesi si fa somen sama e waka ne en baka, ne a subi go a wan pikin mongo. Ne di a sidon, ne den bakaman fi en kon ne en anda.	90	Seeing the multitudes, he went up onto the mountain. When he had sat down, his disciples came to him.
91	Ne a bigin leli den taki:	91	He opened his mouth and taught them, saying,
92	“Seigi fu saka fasi sama di sabi taki, den abi Masaa Gadu fanowdu. Bika fu di a abi a saka fasi ya, da a sa de a ini a Nyun Tii fu Masaa Gadu.	92	"Blessed are the poor in spirit, for theirs is the Kingdom of Heaven.
93	Seigi fu sama di e fii tyali, fu ogii di den du. Bika Masaa Gadu o gi den paadon, meke den ati koo.	93	Blessed are those who mourn, for they shall be comforted.
94	Seigi fu sama di e wooko saka fasi anga taawan. Bika wanten e kon, pe na den anga Masaa Gadu o tii goontapu.	94	Blessed are the gentle, for they shall inherit the earth.
95	Seigi fu sama di e angii fu libi letiopu a Masaa Gadu fesi. Bika Masaa Gadu o yeepi den fu libi so tu, meke den ati koo.	95	Blessed are those who hunger and thirst after righteousness, for they shall be filled.
96	Seigi fu sama di e wooko tyali ati fasi anga taawan. Bika Masaa Gadu seefi o wooko tyali ati fasi anga den baka.	96	Blessed are the merciful, for they shall obtain mercy.
97	Seigi fu sama di ati kiin a Masaa Gadu fesi. Bika dati o meke den go doo Masaa Gadu Kondee, te go si Masaa Gadu seefi anga ain.	97	Blessed are the pure in heart, for they shall see God.
98	Seigi fu sama di e feti fu puu toobi a sama anga sama mindii. Bika den o kai den pikin fu Masaa Gadu.	98	Blessed are the peacemakers, for they shall be called children of God.
99	Seigi fu sama di ogii e miti soso fu di den e libi bun gi Masaa Gadu. Bika den o de a ini a Nyun Tii fu Masaa Gadu.	99	Blessed are those who have been persecuted for righteousness' sake, for theirs is the Kingdom of Heaven.
100	“Seigi fi yu, te sama e kosi yu, e pina yu, e lei gi yu, fu mi ede.	100	"Blessed are you when people reproach you, persecute you, and say all kinds of evil against you falsely, for my sake.
101	Dyombo piisii seefi fu dati. Bika na letiso den be pina den fositen apaiti takiman fu Masaa Gadu a fesi. Da u paiman fu kisi bigi a Masaa Gadu Kondee.”	101	Rejoice, and be exceedingly glad, for great is your reward in heaven. For that is how they persecuted the prophets who were before you.
