APiCS Online -- Structure dataset (feature-value table): Juba Arabic
Lexifier: Arabic | Region: Central and East Africa
Source: https://apics-online.info/contributions/64
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Juba Arabic>  [source citation]
38. Marking of possessor noun phrases -- Adpositional or case marking of possessor  [more]
39. Independent pronominal possessors -- Special pronoun form  [more]
40. Gender agreement of adnominal adjectives -- No adjective agrees with the noun  [more]
41. Comparative adjective marking -- Adjective is not marked  [more]
41. Comparative adjective marking -- Adjective is marked  [more]
42. Comparative standard marking -- Locational marking  [more]
42. Comparative standard marking -- Secondary surpass marking  [more]
43. Position of tense, aspect, and mood markers in relation to the verb -- Immediately preceding the verb  [more]
43. Position of tense, aspect, and mood markers in relation to the verb -- In a leftward position  [more]
44. Internal order of tense, aspect, and mood markers -- The feature does not apply  [more]
45. Tightness of the link between the past marker and the verb -- Particle, only grammatical markers can intervene  [more]
46. Tightness of the link between the progressive marker and the verb -- Particle, nothing can intervene  [more]
47. Uses of the progressive marker -- Progressive and habitual  [more]
48. Uses of the habitual marker -- Habitual, current state, and future  [more]
48. Uses of the habitual marker -- Habitual and progressive  [more]
49. Tense-aspect systems -- Mixed aspectual-temporal system  [more]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [more]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are both unmarked  [more]
52. Aspect markers and inchoative meaning -- Inchoative expressed by progressive marker  [more]
53. Aspect change in verb chains -- Verb chaining does not exist  [more]
54. Suppletion according to tense and aspect -- No suppletion according to tense or aspect  [more]
55. Ability verb and epistemic possibility -- Ability verb cannot express epistemic possibility  [more]
56. The prohibitive -- Normal imperative construction and special negator  [more]
57. Marking of patient noun phrases -- No marking of patient NPs  [more]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [more]
59. Alignment of case marking of personal pronouns -- Neutral alignment  [more]
60. Ditransitive constructions with ‘give’ -- Indirect-object construction  [more]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – theme – recipient  [more]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [more]
62. Expression of pronominal subjects -- Obligatory pronoun words  [more]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is not used  [more]
64. Expletive subject of existential verb -- An expletive subject is not used  [more]
65. Raining constructions -- Rain falls  [more]
66. Experiencer constructions with ‘headache’ -- Experiencer is subject  [more]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [more]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [more]
69. Instrumental expressions -- Adposition  [more]
70. Comitatives and instrumentals -- Identity  [more]
71. Noun phrase conjunction and comitative -- Differentiation  [more]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [more]
73. Predicative noun phrases -- No copula  [more]
74. Predicative adjectives -- No copula  [more]
75. Predicative locative phrases -- Invariant copula  [more]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [more]
77. Predicative possession -- Locational  [more]
77. Predicative possession -- Transitive  [more]
77. Predicative possession -- Comitative  [more]
78. Existential verb and transitive possession verb -- Differentiation  [more]
79. Going to named places -- Preposition  [more]
79. Going to named places -- No adpositional/case marking  [more]
80. Coming from named places -- Preposition  [more]
81. Motion-to and motion-from -- Differentiation  [more]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [more]
83. Transitive motion verbs: ‘pull’ -- Special motion-from adposition  [more]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [more]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [more]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [more]
87. Reflexive constructions -- Reflexive pronoun with ‘body’ or body-part  [more]
88. Intensifiers and reflexive pronouns -- No special reflexive pronouns exist  [more]
89. Reciprocal constructions -- Other special reciprocal construction  [more]
90. Passive constructions -- Typical passive construction  [more]
91. Applicative constructions -- No applicative construction exists  [more]
92. Subject relative clauses -- Relative particle and gap  [more]
93. Object relative clauses -- Relative particle and gap  [more]
94. Instrument relative clauses -- Relative particle and resumptive pronoun  [more]
95. Complementizer with verbs of speaking -- No complementizer  [more]
95. Complementizer with verbs of speaking -- Complementizer identical to bare ‘say’  [more]
96. Complementizer with verbs of knowing -- No complementizer  [more]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [more]
96. Complementizer with verbs of knowing -- Complementizer identical to bare ‘say’  [more]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [more]
98. Complements of 'think' and 'want' -- Only 'think' complement has a complementizer  [more]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [more]
100. Negative morpheme types -- Negative particle  [more]
101. Position of standard negation -- Before the verb  [more]
102. Negation and indefinite pronouns -- Negative existential construction  [more]
103. Polar questions -- Only interrogative intonation  [more]
104. Focusing of the noun phrase -- Fronting with particle after focus  [more]
104. Focusing of the noun phrase -- Cleft with focus particle before focus  [more]
105. Verb doubling and focus -- No verb doubling  [more]
106. Focus particle ‘also’ -- Non-adjacent preceding  [more]
106. Focus particle ‘also’ -- Before the focused element  [more]
106. Focus particle ‘also’ -- After the focused element  [more]
107. Vocative markers -- Obligatory vocative marker preceding noun  [more]
108. Para-linguistic usages of clicks -- Both logical and affective meanings  [more]
109. Pequenino -- A word derived from pequenino does not exist  [more]
110. Savvy -- A savvy word does not exist  [more]
111. 'Tears' -- Bimorphemic  [more]
112. 'Hand' and 'arm' -- Identity  [more]
113. 'Finger' and 'toe' -- Identity  [more]
114. 'Body hair' and 'feather' -- Identity  [more]
115. 'Hear' and 'smell' -- Differentiation  [more]
116. 'Green' and 'blue' -- Differentiation  [more]
117. Female and male animals -- Preposed sex-denoting word  [more]
118. Syllable onsets -- Only simple onsets  [more]
119. Syllable codas -- Codas at most moderately complex  [more]
120. Tone -- No tone distinctions  [more]
121. Vowel height distinctions -- Three vowel heights  [more]
122. Nasal vowels -- No nasal vowels exist  [more]
123. The schwa vowel -- [ə] exists as a minor allophone  [more]
124. Labiodental fricatives -- Only [f] exists  [more]
125. Palato-alveolar sibilants -- Only [ʃ] exists  [more]
126. The voiced sibilant [z] -- [z] exists as a major allophone  [more]
127. Interdental fricatives -- Neither [θ] nor [ð] exists  [more]
128. The palatal nasal -- [ɲ] exists only in loanwords  [more]
129. Prenasalized consonants -- No prenasalized segments  [more]
130. The segment [h] -- [h] exists as a major allophone  [more]
17. Special dependent person forms for subject and object -- Dependent subject and object forms  [more]
40. Gender agreement of adnominal adjectives -- Only few adjectives agree with the noun  [more]
60. Ditransitive constructions with ‘give’ -- Indirect-object construction  [more]
60. Ditransitive constructions with ‘give’ -- Secondary-object construction  [more]
92. Subject relative clauses -- Zero and resumptive pronoun  [more]
92. Subject relative clauses -- Zero and gap  [more]
98. Complements of 'think' and 'want' -- No complementizer  [more]
