APiCS Online -- Structure dataset (feature-value table): Sranan
Lexifier: English | Region: Caribbean
Source: https://apics-online.info/contributions/2
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Sranan>  [source citation]
26. Functions of reduplication -- Attenuating and word-class-changing function  [more]
27. Antidual of paired body-part terms -- No antidual  [more]
28. Definite articles -- Definite article distinct from demonstratives  [more]
29. Indefinite articles -- Indefinite article identical to numeral ‘one’  [more]
30. Generic noun phrases in subject function -- Bare singular noun phrase in languages with definite article  [more]
31. Co-occurrence of demonstrative and definite article -- Co-occurrence  [more]
32. Pronominal and adnominal demonstratives -- Same forms  [more]
33. Distance contrasts in demonstratives -- Two-way contrast  [more]
35. Ordinal numerals -- 'First' is suppletive, all other numerals are synchronically derived from cardinal numerals  [more]
36. Sortal numeral classifiers -- The language has no numeral classifiers  [more]
37. Marking of pronominal possessors -- Preceding word  [more]
37. Marking of pronominal possessors -- Adpositional phrase following the possessum  [more]
38. Marking of possessor noun phrases -- Adpositional or case marking of possessor  [more]
38. Marking of possessor noun phrases -- No marking  [more]
39. Independent pronominal possessors -- Identical to dependent pronominal possessor  [more]
40. Gender agreement of adnominal adjectives -- No adjective agrees with the noun  [more]
41. Comparative adjective marking -- Adjective is marked  [more]
41. Comparative adjective marking -- Adjective is not marked  [more]
42. Comparative standard marking -- Secondary surpass marking  [more]
42. Comparative standard marking -- Particle marking  [more]
43. Position of tense, aspect, and mood markers in relation to the verb -- Immediately preceding the verb  [more]
44. Internal order of tense, aspect, and mood markers -- Mood-Tense-Aspect  [more]
44. Internal order of tense, aspect, and mood markers -- Tense-Mood-Aspect  [more]
45. Tightness of the link between the past marker and the verb -- Particle, only grammatical markers can intervene  [more]
46. Tightness of the link between the progressive marker and the verb -- Particle, nothing can intervene  [more]
47. Uses of the progressive marker -- Progressive, habitual, and current state  [more]
48. Uses of the habitual marker -- Habitual, progressive, and current state  [more]
49. Tense-aspect systems -- Mixed aspectual-temporal system  [more]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [more]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are both unmarked  [more]
52. Aspect markers and inchoative meaning -- Inchoative expressed by progressive marker  [more]
53. Aspect change in verb chains -- Aspect change in verb chains is not possible  [more]
54. Suppletion according to tense and aspect -- No suppletion according to tense or aspect  [more]
55. Ability verb and epistemic possibility -- Ability verb also expresses epistemic possibility  [more]
56. The prohibitive -- Normal imperative construction and normal negator  [more]
57. Marking of patient noun phrases -- No marking of patient NPs  [more]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [more]
59. Alignment of case marking of personal pronouns -- Accusative alignment  [more]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [more]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [more]
62. Expression of pronominal subjects -- Obligatory pronoun words  [more]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is used  [more]
64. Expletive subject of existential verb -- An expletive subject is not used  [more]
65. Raining constructions -- Rain falls  [more]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [more]
66. Experiencer constructions with ‘headache’ -- Pain is subject  [more]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [more]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [more]
69. Instrumental expressions -- Serial verb  [more]
69. Instrumental expressions -- Adposition  [more]
70. Comitatives and instrumentals -- Identity  [more]
71. Noun phrase conjunction and comitative -- Identity  [more]
72. Nominal and verbal conjunction -- Differentiation  [more]
73. Predicative noun phrases -- Invariant copula  [more]
74. Predicative adjectives -- Variable copula  [more]
75. Predicative locative phrases -- Invariant copula  [more]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [more]
77. Predicative possession -- Transitive  [more]
78. Existential verb and transitive possession verb -- Overlap  [more]
79. Going to named places -- Serial verb plus preposition  [more]
79. Going to named places -- Preposition  [more]
80. Coming from named places -- Serial verb plus preposition  [more]
80. Coming from named places -- Preposition  [more]
81. Motion-to and motion-from -- Overlap  [more]
82. Transitive motion verbs: ‘push’ -- Serial verb construction plus preposition  [more]
83. Transitive motion verbs: ‘pull’ -- Serial verb construction plus preposition  [more]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals exist  [more]
85. ‘Take’ serial verb constructions -- Theme of the second verb, literal interpretation possible  [more]
85. ‘Take’ serial verb constructions -- Theme of the second verb, literal interpretation impossible  [more]
85. ‘Take’ serial verb constructions -- Instrument of the second verb, no resumptive pronoun  [more]
86. 'Give' serial verb constructions -- ‘Give’ in second position, recipient or beneficiary  [more]
87. Reflexive constructions -- Compound reflexive pronoun with emphasizer  [more]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are identical  [more]
89. Reciprocal constructions -- Identical and special reciprocal construction  [more]
90. Passive constructions -- Passive without verbal coding  [more]
91. Applicative constructions -- No applicative construction exists  [more]
92. Subject relative clauses -- Relative particle and gap  [more]
92. Subject relative clauses -- Relative pronoun  [more]
92. Subject relative clauses -- Zero and gap  [more]
93. Object relative clauses -- Zero and gap  [more]
93. Object relative clauses -- Zero and resumptive pronoun  [more]
93. Object relative clauses -- Relative pronoun  [more]
93. Object relative clauses -- Relative particle and gap  [more]
94. Instrument relative clauses -- Relative particle and resumptive pronoun  [more]
94. Instrument relative clauses -- Relative pronoun with pied-piping  [more]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [more]
95. Complementizer with verbs of speaking -- Complementizer identical to bare ‘say’  [more]
95. Complementizer with verbs of speaking -- No complementizer  [more]
96. Complementizer with verbs of knowing -- No complementizer  [more]
96. Complementizer with verbs of knowing -- Complementizer identical to bare ‘say’  [more]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [more]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [more]
98. Complements of 'think' and 'want' -- Identical complementizer  [more]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [more]
100. Negative morpheme types -- Negative particle  [more]
101. Position of standard negation -- Before the verb  [more]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [more]
103. Polar questions -- Final question particle  [more]
103. Polar questions -- Only interrogative intonation  [more]
104. Focusing of the noun phrase -- Cleft with copula before focus  [more]
105. Verb doubling and focus -- Verb fronted with a copy in the background clause  [more]
106. Focus particle ‘also’ -- After the focused element  [more]
106. Focus particle ‘also’ -- Non-adjacent following  [more]
107. Vocative markers -- Optional vocative marker preceding noun  [more]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [more]
109. Pequenino -- A word derived from pequenino exists  [more]
110. Savvy -- A savvy word exists  [more]
111. 'Tears' -- Bimorphemic  [more]
112. 'Hand' and 'arm' -- Identity  [more]
113. 'Finger' and 'toe' -- Differentiation  [more]
114. 'Body hair' and 'feather' -- Overlap  [more]
115. 'Hear' and 'smell' -- Differentiation  [more]
116. 'Green' and 'blue' -- Differentiation  [more]
117. Female and male animals -- Sex-denoting prefix  [more]
118. Syllable onsets -- Onsets may be complex  [more]
119. Syllable codas -- Only simple codas  [more]
120. Tone -- No tone distinctions  [more]
121. Vowel height distinctions -- Three vowel heights  [more]
122. Nasal vowels -- Present only as minor allophones  [more]
123. The schwa vowel -- [ə] does not exist  [more]
124. Labiodental fricatives -- Only [f] exists  [more]
125. Palato-alveolar sibilants -- Only [ʃ] exists  [more]
126. The voiced sibilant [z] -- [z] does not exist  [more]
127. Interdental fricatives -- Neither [θ] nor [ð] exists  [more]
128. The palatal nasal -- [ɲ] exists as a major allophone  [more]
129. Prenasalized consonants -- No prenasalized segments  [more]
130. The segment [h] -- [h] exists as a major allophone  [more]
8. Order of degree word and adjective -- Degree word precedes adjective  [more]
41. Comparative adjective marking -- Adjective is marked  [more]
41. Comparative adjective marking -- Adjective is not marked  [more]
42. Comparative standard marking -- Secondary surpass marking  [more]
42. Comparative standard marking -- Particle marking  [more]
