gcf_id	gcf_text	fra_id	fra_text
7820515	An ka kenbé.	7820516	Je tiens le coup.
7820521	Ka sa vlé di ?	2224260	Qu'est-ce que ça veut dire ?
7820523	Ki koté nou yé ?	524352	Où sommes-nous ?
7820527	An pa moun isit.	1388146	Je ne suis pas d'ici.
7820528	Mwen pa moun isit.	1388146	Je ne suis pas d'ici.
7820541	An nou ay !	139646	Allons-y !
7820544	Ès ou pé woudi sa ban mwen ?	1101505	Pouvez-vous répéter cela ?
7820570	Awa, pa fè sa !	4236046	Non, ne fais pas ça !
7820571	Non, pa fè sa !	4236046	Non, ne fais pas ça !
7820572	Pa fè sa !	1996463	Ne fais pas ça !
7820573	Si ou vlé.	621385	Si tu veux.
7820577	Kijan zòt fè ?	7820576	Comment faites-vous ?
7820582	Sèkré a'y sé ta'y.	7820580	Il garde ses secrets pour lui.
7820587	Kaz-la toujou penpan.	7820588	La maison est toujours propre.
7820616	Répons-lasa sé érè.	7820617	Cette réponse est fausse.
7820622	Loraj-la tonbé asi on pyébwa.	7820625	La foudre est tombée sur un arbre.
7820627	Èstéfann ka tayé gazon-la.	7820626	Stéphane tond le gazon.
7820629	I fèt avèg.	7820630	Il est aveugle de naissance.
7820632	Ola ou fèt ?	386779	Où es-tu né ?
7820634	Bagaj an mwen paré.	7820637	Mes bagages sont prêts.
7820640	Avyon-la tonbé.	6577864	L'avion s'est écrasé.
7820642	Sa ka fè ywit mwa i ansent.	433464	Elle est enceinte de huit mois.
7820650	An ka kwè mwen agou a-y.	885269	Tu me plais.
7820650	An ka kwè mwen agou a-y.	7820655	J'ai une touche avec elle.
7820662	Fanm kréyòl an mouvman : isidan, toupatou, toulè, yè, jòdi é dèmen.	7820663	La femme créole en action : ici, ailleurs et en tout temps.
7820707	Ou vwè noutout fèt é grandi.	7820712	Tu nous à tous vus naître et grandir.
7820709	Nou fè'w viv èvè lokans a dwèt an nou, an kadans a doulè an nou, a lenbé an nou.	7820714	Nous t'avons fait vivre avec l'éloquence de nos doigts, au rythme de nos douleurs, de nos chagrins.
7820812	Ka sa yé ?	391060	Que se passe-t-il ?
7820826	A dèmen.	497414	À demain.
7820827	A dèmen !	1108688	À demain !
7820894	Gidé mwen.	6579223	Guide-moi.
7821513	Ou ka manjé.	4598217	Tu manges.
7821519	Zòt ka manjé.	4599061	Vous mangez.
7821641	Eskizé mwen.	10459	Excuse-moi.
7821644	Jandam-la fè mwen souflé adan alkotès.	7821645	Le gendarme m'a fait souffler dans l'alcootest.
7821646	An pèd alyans an mwen.	7821647	J'ai perdu mon alliance.
7821648	Alò, ka ou fè ?	7821649	Alors, comment ça va ?
7821648	Alò, ka ou fè ?	7821650	Alors, comment vas-tu ?
7821651	Anarchis vlé krazé tout biten.	7821652	Les anarchistes veulent tout détruire.
7821658	Bè-la fonn an bwèt-la.	7821661	Le beurre a fondu dans la boîte.
7821659	I fonsé dé klou an poto-la.	7821663	Il enfonce deux clous dans le poteau.
7821664	An vwè bato ka pasé o fon-la.	7821666	J'ai vu de grands bateaux passer au large.
7821668	Pa ay o fon !	2105279	Ne va pas trop loin !
7821670	Ti fiy-la pati o fon bwa la.	7821671	La fillette est partie au fin fond des bois.
7821672	Tou-la fon.	7821674	Le trou est profond.
7821673	Dlo-la fon.	7821675	L'eau est profonde.
7821681	Alimaj a loto an mwen pa'a maché.	7821697	Ma voiture a une panne d'allumage.
7821684	I achté on fétou an alimignòm.	7821699	Elle a acheté un fait-tout en aluminium.
7821687	Mété tibren alkòl asi bobo-la !	7821700	Mets un peu d'alcool sur la plaie !
7821688	O madanm, ès ou ni on ti almanak pou ou ban mwen ?	7821702	Eh, madame ! Vous n'avez pas un petit calendrier pour moi ?
7821690	Alto-la ka kriyé twòp, yo ja tann anki i.	7821703	Le saxophone alto joue trop fort, on n'entend que toi.
7821692	Misyé rantré alvantis.	7821704	Il est devenu adventiste.
7821694	I alzé i ka fè.	7821707	Il roule les mécaniques.
7821715	Boug-la anba on pyé mango ka pran frèché.	7821720	L'homme est sous un manguier à prendre le frais.
7821713	Yo té ka réré anba mòn-la.	7821721	Ils habitent en bas de la colline.
7821724	Madanm a i ka vann karòt anba marché.	7821727	Sa femme vend des carottes sous le marché couvert.
7821730	Ou ja kafé ?	7821731	Tu as déjà pris ton café ?
7821732	Ja lè pou pati.	890891	Il est temps de partir.
7821728	Mwen anba chèf-la.	7821733	Je suis sous les ordres du chef.
7821729	I té ni on boutik, mé sa ja anba dlo.	7821734	Il avait une boutique, mais elle a déjà fait faillite.
7821799	An ka jwé.	7821807	Je joue.
7821799	An ka jwé.	7821810	Je suis en train de jouer.
7821813	I ka jwé.	7821821	Il joue.
7821813	I ka jwé.	7821822	Il est en train de jouer.
7821836	Misyé ka vini anflé.	7821848	Il enfle.
7821856	Misyé ka touché lajan anba-fèy.	7821859	Il touche de l'argent en secret.
7821825	Anbalaj-la pa té bon, ni dé vè ki kasé.	7821860	L'emballage était défectueux, il y a deux verres de cassés.
7821831	Misyé vòlè anba-anba.	7821863	Il vole en cachette.
7821874	I ké woté yo anba men a moun ki ka pwofité si yo é anba vyolans.	7821881	Il les libérera de l'oppression et de la violence.
7821887	Sé liv-lasa bazé si Labib.	7821890	Ces livres sont basés sur la Bible.
7821899	Sa yo fè-la té mové, sété on péché.	7821902	Ce qu'ils ont fait était mal. C'était un péché.
7821906	Ka sé asistan ministéryèl la ka fè ban nou ?	7821909	Que font les assistants ministériels pour nous ?
7821910	Ka Jéova ké fè ?	7821911	Que fera Jéhovah ?
7821922	Fo zòt wou-alé ankò.	7821923	Il vous faut y aller de nouveau.
7821912	Anj-la vin di Mari bonjou.	7821928	L'ange vint saluer Marie.
7821913	Yo manjé anki patat.	7821931	Ils n'ont mangé que des patates douces.
7821914	Anki vou pé fè sa ban mwen.	7821932	Toi seul peux faire ça pour moi.
7821915	Vant-la roupran mwen ankò.	7821934	Le mal de ventre m'a repris.
7821936	Pa pléré ankò !	7821937	Ne pleure plus !
7821935	I pa ni entéré viré ankò.	7821939	Il n'a pas intérêt à revenir.
7821948	Lévé pyé a'w, ni timoun ka jwé-la !	7821953	Ralentissez, il y a des enfants qui jouent ici !
7821948	Lévé pyé a'w, ni timoun ka jwé-la !	7821955	Levez le pied, il y a des enfants qui jouent ici !
7821966	Tout moun koumansé pléré lè yo ankofré mò-la.	7821972	Tout le monde se mit à pleurer quand on mit en bière le défunt.
7821992	Klé-la anho a bifé-la.	7821995	La clef est sur le dessus du buffet.
7821992	Klé-la anho a bifé-la.	7821997	La clé est sur le dessus du buffet.
7822001	An ay vwè'y sanmdi anho.	7822002	Je suis allé le voir samedi dernier.
7822003	An ay vwè'y sanmdi anho-anho.	7822004	Je suis allé le voir le samedi précédent.
7822005	I anho an nou tout.	7822006	Il est notre supérieur.
7822010	Ès ou pé di dé ékip-lasa alabalans ?	7822011	Est-ce qu'on peut dire que ces deux équipes sont à égalité ?
7822010	Ès ou pé di dé ékip-lasa alabalans ?	7822012	Peut-on dire que ces deux équipes sont à égalité ?
7822016	Kibiten ésa ?	3094	Qu'est-ce que c'est ?
7822015	Ou ka éséyé wanjé pòt la.	7822023	Tu essaies de réparer la porte.
7822015	Ou ka éséyé wanjé pòt la.	7822024	Tu essayes de réparer la porte.
7822027	An ja éséyé wòb-la.	7822028	J'ai déjà essayé la robe.
7822030	Lé ni on mèt nèf, zélèv toujou ka éséyé'y.	7822035	Quand arrive un nouveau maître, les élèves le mettent toujours à rude épreuve.
7822038	Loto-la pri adan on ma-labou.	7822040	La voiture s'est enlisée dans un bourbier.
7822041	An malad.	459031	Je suis malade.
7822044	I malad a fanm-la.	7822045	Il est fou de cette femme.
7822042	Timoun-la malad.	7822046	L'enfant est malade.
7822048	An malad a wòb-lasa.	7822049	Cette robe me plaît énormément.
7822369	Yo kouché yonn anlè lòt.	7822377	Ils sont couchés l'un sur l'autre.
7822366	I ka rété anlè mòn la.	7822379	Il habite sur la colline.
7822395	An nou alé oti avoka la !	7822396	Allons consulter l'avocat !
7822436	Ho-palè-la kasé, nou pa'a tann ayen.	7822437	Le haut-parleur est cassé, on n'entend rien.
7822445	Ban mwen i.	939376	Donne-le-moi.
7822447	Sòti ou la ! Ou ka jéné mwen !	7822448	Sauve-toi de là, tu me gênes.
7822450	Dis, onz, douz, twèz, katòz, kenz, sèz, disèt, dizywit, diznèf, ven.	351744	Dix, onze, douze, treize, quatorze, quinze, seize, dix-sept, dix-huit, dix-neuf, vingt.
7822451	Dis, ven, trant, karant, senkant, swasant, swasanndis, katrèven, katrèven-dis, san.	632164	Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent.
7822452	Mwen osi.	433586	Moi aussi.
7822453	Mwen osi !	536230	Moi aussi !
7822457	Ou vlé vin ?	1008672	Tu veux venir ?
7822458	Kijan ou touvé fim-la ?	617162	Comment as-tu trouvé le film ?
7822459	Mèsi pou envitasyon a'w.	494085	Merci de m'avoir invité.
7822478	Mwen ka chèché on bouchri.	7822520	Je cherche une boucherie.
7822482	Mwen ka chèché on sant komèwsyal.	7822522	Je cherche un centre commercial.
7822486	Mwen ka chèché on lolo.	7822524	Je cherche une épicerie.
7822488	Mwen ka chèché on boutik a flè.	7822525	Je cherche un fleuriste.
7822490	An ka chèché on machann sòwbé.	7822526	Je cherche un glacier.
7822490	An ka chèché on machann sòwbé.	7822527	Je cherche un marchand de glaces.
7822492	Mwen ka chèché on boutik a soulyé.	7822529	Je cherche un magasin de chaussures.
7822494	Mwen ka chèché on timawché.	7822530	Je cherche un marchand de fruits et légumes.
7822496	An ka chèché on boutik a joujou pou timoun.	7822532	Je cherche un magasin de jouets.
7822498	Mwen ka chèché on boutik a lenj.	7822533	Je cherche un magasin de vêtements.
7822500	Mwen ka chèché on parfumri.	7822534	Je cherche une parfumerie.
7822502	Mwen ka chèché on fanmasi.	7822536	Je cherche une pharmacie.
7822508	Mwen ka chèché on machann pwason.	7822538	Je cherche un poissonnier.
7822508	Mwen ka chèché on machann pwason.	7822540	Je cherche un marchand de poisson.
7822512	Mwen ka chèché on chèl.	7822541	Je cherche une station-service.
7822512	Mwen ka chèché on chèl.	7822542	Je cherche une station d'essence.
7822512	Mwen ka chèché on chèl.	7822543	Je cherche une station-essence.
7822516	Mwen ka chèché on sipèrmawché.	7822545	Je cherche un supermarché.
7822559	O sant komèwsyal la yé ?	1211561	Où se trouve le centre commercial ?
7822560	Ola sant komèwsyal la yé ?	1211561	Où se trouve le centre commercial ?
7822573	Ès ni ou tab pou senk moun ?	865526	Avez-vous une table pour cinq ?
7822574	Ès ou té ké pé ban nou vwè kat-la ?	7822576	Peut-on avoir la carte, s'il vous plaît ?
7822577	Lapli ké tonbé.	761482	Il va pleuvoir.
7822578	Van ké vanté.	7822579	Il y aura du vent.
7822583	Syèl-la ké chajé.	7822586	Il fera nuageux.
7822583	Syèl-la ké chajé.	7822588	Le ciel sera nuageux.
7822583	Syèl-la ké chajé.	7822590	Le ciel sera chargé.
7822592	Lanmè-la ké ni gwo lanm.	7822593	Il y aura de la houle en mer.
7822594	Tan-la ké bèl.	7414819	Il va faire beau.
7822595	Tan-la ké cho.	5185847	Il va faire chaud.
7822599	An té ké vlé rézèwvé on chanm.	1469633	Je voudrais réserver une chambre.
7822601	Ou chanslé.	3288900	Vous avez de la chance.
7822619	An ka manjé pen.	2723492	Je mange du pain.
7822620	Mwen ka manjé pen.	2723492	Je mange du pain.
7822621	An ka manjé pen a lè a didiko-la.	7822622	Je mange du pain au petit-déjeuner.
7822623	Lwi-la sé sans-la ka pèwmèt on moun tann.	7822624	L'ouïe est le sens qui permet d'entendre.
7822627	Zouti-la pèrmèt nou travay.	7822629	L'outil nous permet de travailler.
7822633	Mwen ka bwè èvè on pay.	7822634	Je bois avec une paille.
7822638	Ni òksijèn andidan boutèy-lasa.	7822642	Il y a de l'oxygène dans cette bouteille.
7822645	Lous-la ka vansé si nou.	7822647	L'ours avance vers nous.
7822649	I toujou ka pléré.	7822648	Elle pleure tout le temps.
7822650	Manman mwen ka fè machann anba laplas.	7822651	Ma mère est vendeuse au marché.
7822690	An ka sonjé'w toultan.	1927383	Je pense à toi tout le temps.
7823148	Tinon an mwen sé Jan.	373419	Je m'appelle John.
7823150	Tinon an mwen sé Andréa.	378288	Je m'appelle Andrea.
7823153	Tinon an mwen sé Sara.	477618	Je m'appelle Sara.
7823155	Tinon an mwen sé Lwi.	1551031	Je m'appelle Luis.
7823156	Tinon an mwen sé Émili.	2423785	Je m'appelle Emily.
7823157	Tinon an mwen sé Lori.	2508105	Je m'appelle Laurie.
7823160	Tinon an mwen sé Sacha.	2695261	Je m'appelle Sasha.
7823162	Non an mwen sé Sali.	2695290	Je m'appelle Sally.
7823167	Byenbonjou, non an mwen sé Tina.	1319942	Bonjour, je m'appelle Tina.
7823168	Bonjou ! Non an mwen sé Tòm.	5233956	Bonjour ! Je m'appelle Tom.
7823170	Bonjou, non an mwen sé Mayk.	5255547	Salut, je m'appelle Mike.
7823174	Bonjou, non an mwen sé Tòm !	7098069	Salut, je m'appelle Tom !
7823175	Bonswa !	333159	Bonsoir !
7823177	Bonswè !	333159	Bonsoir !
7823178	Bonswa madanm !	1143749	Bonsoir Madame !
7823179	Bonswè madanm !	1143749	Bonsoir Madame !
7823180	Bonswa misyé !	2186379	Bonsoir monsieur !
7823181	Bonswè misyé !	2186379	Bonsoir monsieur !
7823182	Bonswa, ka ou fè ?	582788	Bonsoir, ça va ?
7823183	Bonswè, ka ou fè ?	582788	Bonsoir, ça va ?
7823185	Bonswa mésyézédanm !	1598006	Bonsoir Mesdames et Messieurs !
7823187	Bonswè mésyézédanm !	1598006	Bonsoir Mesdames et Messieurs !
7823191	Kijan ou ka vini ?	5983706	Quand viens-tu ?
7823217	Kijan ou yé ?	8742	Comment vas-tu ?
7820141	Kijan a'w ?	8742	Comment vas-tu ?
7823243	An ké manjé.	1098523	Je mangerai.
7823244	Mwen ké manjé.	1098523	Je mangerai.
7823245	Ou ké manjé.	5250110	Tu mangeras.
7823249	I ké manjé.	5250112	Il mangera.
7823290	Yo ké manjé.	7823293	Ils mangeront.
7823290	Yo ké manjé.	7823295	Elles mangeront.
7823348	Ou ka pati ?	7823349	Tu pars ?
7823352	Ou ké ay ?	7823353	Tu iras ?
7823371	An té k'ay manjé.	7823395	J'allais manger.
7823373	Ou té k'ay manjé.	7823412	Tu allais manger.
7823374	I té k'ay manjé.	7823419	Il allait manger.
7823375	Nou té k'ay manjé.	7823422	Nous allions manger.
7823393	Zòt pa té k'ay manjé.	7823424	Vous n'alliez pas manger.
7823382	Zòt té k'ay manjé.	7823434	Vous alliez manger.
7823383	Yo té k'ay manjé.	7823435	Ils allaient manger.
7823386	An pa té k'ay manjé.	7823438	Je n'allais pas manger.
7823390	Ou pa té k'ay manjé.	7823443	Tu n'allais pas manger.
7823391	I pa té k'ay manjé.	7823445	Il n'allait pas manger.
7823392	Nou pa té k'ay manjé.	7823447	Nous n'allions pas manger.
7823394	Yo pa té k'ay manjé.	7823450	Ils n'allaient pas manger.
7821513	Ou ka manjé.	3510285	Tu es en train de manger.
7821520	Nou ka manjé.	4599059	Nous mangeons.
7821520	Nou ka manjé.	7823479	Nous sommes en train de manger.
7821636	Yo ka manjé.	4599065	Ils mangent.
7821636	Yo ka manjé.	2154652	Ils sont en train de manger.
7823282	Zòt ké manjé.	7823481	Vous mangerez.
7823263	Nou ké manjé.	7823482	Nous mangerons.
7823483	An pa ka mangé.	913509	Je ne suis pas en train de manger.
7823484	Mwen pa ka mangé.	913509	Je ne suis pas en train de manger.
7823485	Mwen pa'a manjé.	913509	Je ne suis pas en train de manger.
7823486	An pa'a manjé.	913509	Je ne suis pas en train de manger.
7823488	Ou pa ka manjé.	7823494	Tu ne manges pas.
7823488	Ou pa ka manjé.	7823495	Tu n'es pas en train de manger.
7823490	I pa ka manjé.	5249394	Il ne mange pas.
7823490	I pa ka manjé.	7823496	Il n'est pas en train de manger.
7823492	Nou pa ka manjé.	4841681	Nous ne sommes pas en train de manger.
7823492	Nou pa ka manjé.	7823497	Nous ne mangeons pas.
7823499	Zòt pa ka manjé.	7823501	Vous ne mangez pas.
7823499	Zòt pa ka manjé.	7823502	Vous n'êtes pas en train de manger.
7823503	Yo pa ka manjé.	7823505	Ils ne mangent pas.
7823503	Yo pa ka manjé.	7823506	Ils ne sont pas en train de manger.
7823503	Yo pa ka manjé.	7823507	Elles ne mangent pas.
7823503	Yo pa ka manjé.	7823508	Elles ne sont pas en train de manger.
7823511	An pé ké manjé.	7823527	Je ne mangerai pas.
7823515	Ou pé ké manjé.	7823529	Tu ne mangeras pas.
7823517	I pé ké manjé.	5250112	Il mangera.
7823523	Yo pé ké manjé.	7823531	Ils ne mangeront pas.
7823523	Yo pé ké manjé.	7823532	Elles ne mangeront pas.
7823521	Zòt pé ké manjé.	7823533	Vous ne mangerez pas.
7823519	Nou pé ké manjé.	7823534	Nous ne mangerons pas.
7823579	An manjé pen.	5246825	J'ai mangé du pain.
7823581	Mwen manjé pen.	5246825	J'ai mangé du pain.
7823594	An manjé.	2923003	J'ai mangé.
7823598	Ou manjé.	2923005	Tu as mangé.
7823599	I manjé.	2923008	Il a mangé.
7823600	Nou manjé.	2923018	Nous avons mangé.
7823601	Zòt manjé.	2923021	Vous avez mangé.
7823605	Yo manjé.	4599065	Ils mangent.
7823669	An pa manjé.	2299592	Je n'ai pas mangé.
7823671	Mwen pa manjé.	2299592	Je n'ai pas mangé.
7823676	Ou pa manjé.	7823678	Tu n'as pas mangé.
7823683	I pa manjé.	7823685	Il n'a pas mangé.
7823686	Nou pa manjé.	7823692	Nous n'avons pas mangé.
7823688	Zòt pa manjé.	7823694	Vous n'avez pas mangé.
7823691	Yo pa manjé.	7823696	Ils n'avaient pas mangé.
7823691	Yo pa manjé.	7823702	Elles n'avaient pas mangé.
7823683	I pa manjé.	7823703	Elle n'a pas mangé.
7823712	Pa manjé'y !	5745027	Ne mange pas ça !
7825123	Ou ka manké mwen.	3124	Tu me manques.
7825225	An manké avyon-la.	7825227	J'ai raté l'avion.
7825372	Poutan zòt sav lavi-la rèd.	7825373	Vous savez pourtant que la vie est dure.
7825364	Mwen pa ka konpwann zòt ka viv kon si pa ni pwoblèm.	7825378	Je n'arrive pas à comprendre que vous viviez comme s'il n'y avait aucun souci.
7826228	An ka chèché on boulanjri.	7826230	Je cherche une boulangerie.
7829100	Sa kon sa.	12286	C'est comme ça.
7849835	An ka sonjé'w.	332309	Je pense à toi.
7849836	Mwen ka sonjé'w.	332309	Je pense à toi.
7850563	Wi.	477136	Oui.
7850564	Anhan.	477136	Oui.
7850565	Wè.	477136	Oui.
7850567	Wi !	1153637	Oui !
7850568	Wè !	1153637	Oui !
7850569	Wi, dé.	375327	Oui, deux.
7850570	Anhan, dé.	375327	Oui, deux.
7850571	Wè, dé.	375327	Oui, deux.
7850574	Wè, poukisa ?	3642756	Oui, pourquoi ?
7850583	Wi, poukisa ?	3642756	Oui, pourquoi ?
7850584	Anhan, poukisa ?	3642756	Oui, pourquoi ?
7850586	Wi. Mèsi.	7801768	Oui. Merci.
7850587	Wè. Mèsi.	7801768	Oui. Merci.
7850588	Anhan. Mèsi.	7801768	Oui. Merci.
7850589	Wè, an nou a'y.	338192	Oui, allons-y.
7850590	Wi, an nou a'y.	338192	Oui, allons-y.
7850593	Wi, mwen ka pléré.	1675983	Oui, je pleure.
7850594	Wè, mwen ka pléré.	1675983	Oui, je pleure.
7850595	Wi, an ka pléré.	1675983	Oui, je pleure.
7850601	An pa sa fè sa.	7850602	Je ne sais pas le faire.
7850614	Mwen pa sa fè sa.	7850602	Je ne sais pas le faire.
7850615	Wè, an ka pléré.	1675983	Oui, je pleure.
7850619	Yo volé papyé an mwen èvè pòtmonné-la.	7850620	On m'a volé mes papiers et mon porte-monnaie.
7850618	Yo volé papyé an mwen.	7850621	On m'a volé mes papiers.
7850901	Non an mwen sé Èstéfann.	7850899	Je m'appelle Stéphane.
7850905	An ka rété Granntè.	7850914	J'habite en Grande-Terre.
7850915	An ka rété Bastè.	7850916	J'habite en Basse-Terre.
7850919	An ka rété Lésent.	7850921	J'habite aux Saintes.
7850927	An ka rété Dézirad.	7850928	J'habite à la Désirade.
7850924	An ka rété Marigalant.	7850929	J'habite à Marie-Galante.
7850933	An ka rété Lapwent.	7850934	J'habite à Pointe-à-Pitre.
7850935	An ka rété Zabim.	7850939	J'habite aux Abymes.
7850949	An ka rété Senfwanswa.	7850951	J'habite à Saint-François.
7850953	An ka rété Goubè.	7850954	J'habite à Gourbeyre.
7850958	An ka rété Bayif.	7850959	J'habite à Baillif.
7850964	An ka rété Senklòd.	7850965	J'habite à Saint-Claude.
7850966	An ka rété Twarivyè.	7850967	J'habite à Trois-Rivières.
7850968	An ka rété Zabitan.	7850970	J'habite à Vieux-Habitants.
7850988	An sé moun Gwadloup.	7850990	Je suis guadeloupéen.
7850993	An sé moun Matinik.	7851015	Je suis martiniquais.
7850988	An sé moun Gwadloup.	7851016	Je suis de Guadeloupe.
7850993	An sé moun Matinik.	7851017	Je suis de Martinique.
7851026	Tinon an mwen sé Jòj.	7851027	Je m'appelle Georges.
7851031	Tinon an mwen sé Igo.	7851032	Je m'appelle Hugo.
7851033	Tinon an mwen sé Lika.	7851035	Je m'appelle Lucas.
7851078	Mwen ni dizywitan.	129841	J'ai dix-huit ans.
7851070	An ni dizywitan.	129841	J'ai dix-huit ans.
7851039	An ni dézan.	7851082	J'ai deux ans.
7851040	An ni twazan.	7851083	J'ai trois ans.
7851041	An ni katran.	7851084	J'ai quatre ans.
7851042	An ni senkan.	7851085	J'ai cinq ans.
7851043	An ni sizan.	7851086	J'ai six ans.
7851044	An ni sètan.	7851087	J'ai sept ans.
7851045	An ni ywitan.	7851088	J'ai huit ans.
7851046	An ni nèvan.	7851089	J'ai neuf ans.
7851047	An ni dizan.	7851090	J'ai dix ans.
7851048	An ni onzan.	7851096	J'ai onze ans.
7851049	An ni douzan.	2069123	J'ai douze ans.
7851050	An ni onnan.	7851097	J'ai un an.
7851063	An ni trèzan.	7851099	J'ai treize ans.
7851065	An ni katòzan.	6813322	J'ai quatorze ans.
7851066	An ni kenzan.	7851102	J'ai quinze ans.
7851067	An ni sèzan.	517016	J'ai seize ans.
7851068	An ni disètan.	7851104	J'ai dix-sept ans.
7851071	An ni ventan.	7851106	J'ai vingt ans.
7851072	An ni ventéennan.	7851107	J'ai vingt et un ans.
7851112	An ni diznèvan.	7851118	J'ai dix-neuf ans.
7851120	An ni venndézan.	7851125	J'ai vingt-deux ans.
7851128	An ni venntwazan.	7851130	J'ai vingt-trois ans.
7851143	An ni trantan.	1148020	J'ai trente ans.
7851144	Mwen ni trantan.	1148020	J'ai trente ans.
7851140	An ni twantéennan.	7851145	J'ai trente et un ans.
7851141	An ni tranndézan.	7851147	J'ai trente-deux ans.
7851142	An ni karantan.	1045539	J'ai quarante ans.
7851151	An ni karanndézan.	7851150	J'ai quarante-deux ans.
7851152	Mwen ni karanndézan.	7851150	J'ai quarante-deux ans.
7850983	An sé moun Fwans.	7851156	Je suis de France.
7850983	An sé moun Fwans.	139224	Je suis français.
7850982	An sé moun Dominik.	7851157	Je suis de Dominique.
7850982	An sé moun Dominik.	7851161	Je suis dominiquais.
