hat_id	hat_text	eng_id	eng_text
4697851	Mwen pa janm pral konprann.	4694937	I will never understand.
4697879	Nou bezwen konkou li.	4694477	We need her help.
1897919	Bonjou!	1858850	Hello.
5342153	Ki kote ou ye?	2168	Where are you?
5342157	Ki bò w ye?	2168	Where are you?
5342156	Ki bò ou ye?	2168	Where are you?
5342155	Ki kote nou ye?	2168	Where are you?
5342154	Ki kote w ye?	2168	Where are you?
4697851	Mwen pa janm pral konprann.	2247793	I'll never understand.
3214262	Mwen pa konprann.	376610	I do not understand.
3138161	Bonjou! Bon maten!	2332802	Hi! Good morning!
3138159	Bon maten!	3626661	Mornin'!
3138149	"Mesi." "De ryen."	1050524	"Thanks." "You're welcome."
3138149	"Mesi." "De ryen."	5170317	"Thank you!" "You're welcome."
8011588	Ou pa pral genyen pwoblèm sa a.	1635477	You won't have that problem.
8011598	Mwen te pè pale.	3734151	I was afraid to speak.
8011600	Ou jòn.	5331444	You're yellow.
8011602	Tom sanble terib.	2237206	Tom looks awful.
8011604	Tom pa ka fè fòt.	1522193	Tom cannot make mistakes.
8011606	Mwen renmen manje pikant.	5859775	I love spicy food.
8011610	Nou bezwen èd li.	4694477	We need her help.
8011614	Mwen rele Tom.	1173265	My name is Tom.
8011617	Pèsonn pa te konen kote li te ale.	4445998	Nobody knew where he went.
8011629	Mwen renmen'w.	1434	I love you.
8011625	Ki sa yo te di ou?	2644699	What did they say to you?
8011625	Ki sa yo te di ou?	3199945	What did they tell you?
8011624	Ki lè lekòl la fini?	21543	When is school over?
8011621	Tom ak Mary toulède konnen sa pa vre	6523654	Tom and Mary both know that's not true.
8011621	Tom ak Mary toulède konnen sa pa vre	6525216	Tom and Mary both know that isn't true.
8011621	Tom ak Mary toulède konnen sa pa vre	7512156	Tom and Mary both know that that's not true.
8011621	Tom ak Mary toulède konnen sa pa vre	7512157	Tom and Mary both know that that isn't true.
8011621	Tom ak Mary toulède konnen sa pa vre	6523655	Both Tom and Mary know that isn't true.
8011621	Tom ak Mary toulède konnen sa pa vre	7512765	Both Tom and Mary know that that isn't true.
8011621	Tom ak Mary toulède konnen sa pa vre	7512764	Both Tom and Mary know that that's not true.
8011621	Tom ak Mary toulède konnen sa pa vre	6525215	Both Tom and Mary know that's not true.
8011615	Mwen pral jwe tenis.	255099	I am going to play tennis.
8011615	Mwen pral jwe tenis.	6873170	I'm going to play tennis.
8011614	Mwen rele Tom.	2649208	My name's Tom.
5342155	Ki kote nou ye?	2647789	Where are you guys?
5342155	Ki kote nou ye?	3826551	Where are we?
3214262	Mwen pa konprann.	38392	I don't get it.
8011610	Nou bezwen èd li.	8217723	You guys need his help.
8011610	Nou bezwen èd li.	8217724	You guys need her help.
8886036	Felisitasyon!	1437	Congratulations!
8886036	Felisitasyon!	3644088	Congrats!
8011626	Pote'l pi pre.	2245016	Bring it closer.
8011595	Lè Tom te reveye, li te jwenn Mary ap li yon liv nan biwo a.	9938232	When Tom woke up, he searched for Mary's book in the desk.
9939190	Konbyen li koute?	2234121	What's the price?
9939192	Konbe li koute?	2234121	What's the price?
10166079	Kimoun mwen ye?	259378	Who am I?
10472976	Moun Filipin yo pa tankou moun Swis.	10472956	Filipinos are not like Swiss.
10713359	Mwen pa mò.	1792649	I'm not dead.
10713359	Mwen pa mò.	9370521	I am not dead.
10724027	Kisa mwen ye?	4597874	What am I?
10852306	Mwen pa renmen manje tomat.	10851814	I don't like eating tomatoes.
10852308	Mwen renmen madanm mwen.	436791	I love my wife.
10852309	Mwen renmen mont sa a.	8825743	I like this watch.
10852447	Èske ou pale kreyòl ayisyen?	11521460	Do you speak Haitian Creole?
10852312	Mwen wè fanmi mwen.	11521463	I see my family.
10852314	Mwen pè areye.	453111	I'm afraid of spiders.
10852315	Èske ou pè areye?	6531690	Are you afraid of spiders?
10852319	Vant mwen fè mal.	28159	My stomach hurts.
10852321	Kote kle yo?	2548478	Where are the keys?
10852324	Kiyès mwen ye?	259378	Who am I?
10852326	Ki kote ou rete?	370708	Where do you live?
10852306	Mwen pa renmen manje tomat.	11521478	I do not like to eat tomatoes.
10852304	Mwen pa te manje pen an.	11521480	I did not eat the bread.
10852302	Mwen te manje diri a.	11521481	I ate the rice.
10852297	Nou pale kreyòl ayisyen.	11521482	We speak Haitian Creole.
10852297	Nou pale kreyòl ayisyen.	11521483	You speak Haitian Creole.
10852293	Èske ou pale angle?	378270	Do you speak English?
10852292	Mwen pa pale angle.	11521486	I do not speak English.
11523624	Ou pale kreyòl ayisyen.	11521483	You speak Haitian Creole.
11973721	Jodi a se 26 jiyè 2023: Bòn Jounen Esperanto! Sa fè 136 ane, 1887-2023. Sonje ke pandan plizyè deseni, pa te gen okenn Entènèt, ki kounye a ede gaye nan lang tankou Esperanto, atravè lemond.	11959956	Today is the 26th of July of 2023: Happy Esperanto Day! It's been 136 years, 1887-2023. Remember that for many decades, there was no Internet, which now helps propagation of languages such as Esperanto, worldwide.
13446319	Mwen se Ayisyèn.	11669423	I'm Haitian.
10468115	Mwen se yon ayisyen.	11669423	I'm Haitian.
10468118	Mwen se yon ayisyèn.	11669423	I'm Haitian.
10468127	Èske ou pale fransè?	415441	Do you speak French?
10468120	Mwen se yon zanmi!	13463516	I'm a friend!
13797893	Mwen se yon fanm.	1122514	I'm a woman.
13797996	Mwen se yon gason.	580774	I'm a man.
13798588	Mwen se yon fanm ki soti Iran.	11114312	I'm a woman from Iran.
13798594	Mwen se yon gason ki soti Iran.	11114309	I'm a man from Iran.
13799897	Aprann angle.	13703895	Learn English.
13799899	Aprann anglè.	13703895	Learn English.
13799966	Aprann franse.	7966960	Learn French.
13835528	Modpas la se "modpas".	13671888	The password is "password."
13837328	Mouch vole.	11367784	Flies fly.
13837446	Yon revolisyon se pa yon dine de gala.	13820128	A revolution is not a dinner party.
13838103	Chak pèp se yon pèp chwazi.	13464941	Every people is chosen.
13838175	Mwen se yon chat.	2068371	I'm a cat.
13838181	Mwen renmen chat nou yo.	13737541	I love our cats.
13864818	Kiyès Bondye ye?	8246994	Who is God?
13864818	Kiyès Bondye ye?	9373967	Who's God?
13876705	Tom te fè kaka.	13472708	Tom took a shit.
13880402	Non, se mwen papa w.	10028900	No, I am your father.
13909324	Nou te vwazen.	2241499	We were neighbors.
13909442	Tom sanble ak frè w.	5834813	Tom is similar to your brother.
13909444	Tom sanble ak frè nou.	5834813	Tom is similar to your brother.
13909444	Tom sanble ak frè nou.	13909510	Tom is similar to our brother.
13909908	Entèlijans atifisyèl pa egziste.	12269783	There's no such thing as Artificial Intelligence.
13910035	Li te mouri pou nou ka viv.	2736787	He died so that we may live.
13910204	Lanmò pa solisyon an.	10598503	Death is not the answer.
13910965	Èske yo bezwen lajan?	13436330	Do they need money?
13911570	Mond lan an danje.	13310333	The world is in danger.
13912918	Pòm sa a pi wouj.	2654850	This apple is redder.
13918120	Sami se yon Mizilman.	6447733	Sami is a Muslim.
13922529	Pe bouch ou, fachis.	10141202	Shut up, fascist.
13925155	Anpil gèp se polinizatè.	12193858	Many wasps are pollinators.
13928842	Poukisa tout gason yo oblije tonbe damou pou mwen? Mwen pa vle sa.	6988996	Why must all men fall in love with me? I don't want that.
13930404	Tom se yon non.	13876128	Tom is a name.
13930632	Konbyen pedofil ki gen nan gouvènman an?	13930426	How many pedophiles are there in the government?
13930817	Toujou sensè.	13927068	Always be frank.
13931138	Li avèk li.	12335365	She is with her.
13931140	Li ansanm avè l.	12335365	She is with her.
13931314	Machin nan piti.	13015506	The car is small.
13931924	Tom se yon ranmasè fatra.	11977019	Tom is a garbage man.
13932059	Mwen pa renmen sab la.	4347179	I don't like sand.
13932240	Ou se yon vòlè, Tom.	9093662	You're a thief, Tom.
13950078	Pa manje vyann!	13882717	Don't eat meat!
13951957	Nou pa vole.	12832931	We don't fly.
13956364	Ou se yon fanm wo.	13955173	You're a tall woman.
13958562	Lapè san jistis se sèlman yon sispann-tire.	9998877	Peace without justice is a ceasefire.
13959337	Se fen yon anpi.	12927491	It's the end of an empire.
13959862	Mwen rayi gason.	11895144	I hate men.
13960808	Papa m bwè kafe chak maten.	10784860	Dad drinks coffee every morning.
13961315	Mwen te vote kont ou.	5958269	I voted against you.
13961483	Mwen gen yon ti chen.	13232679	I have a small dog.
13970027	Mwen gen yon amstè.	13968820	I've got a hamster.
13970027	Mwen gen yon amstè.	13968817	I have a hamster.
13970386	Nou manje vyann.	12773986	You guys eat meat.
13970386	Nou manje vyann.	9464070	We eat meat.
13972991	Disfori sèks an konn kòmanse pandan anfans.	13085786	Gender dysphoria usually begins in childhood.
13974000	Lanmò natirèl.	12982868	Death is natural.
13974001	Lanmò se yon bagay natirèl.	12982868	Death is natural.
13974001	Lanmò se yon bagay natirèl.	13974082	Death is a natural thing.
13976123	Parès se manman envansyon.	11736225	Laziness is the mother of invention.
13977856	Tom te wè yon reken.	8588809	Tom saw a shark.
